candidate,cases,tests,valid_on_fixed,lines_total,lines_covered,conditions_total,conditions_covered,log
19,hex_hash|hex_ff|decimal_big|to_short|min_int_array|min_long_array|max_long_array,7,True,380,92,350,45,evaluations/candidate_019.log
20,decimal|decimal_big|to_short|to_float|create_integer|create_big_integer|create_float|max_long_array|min_double_array|max_double_array,10,True,380,90,350,41,evaluations/candidate_020.log
21,hex_ff|to_short|create_float|min_int_array|min_double_array|max_double_array|min_three,7,True,380,71,350,33,evaluations/candidate_021.log
22,hex_hash|hex_ff|hex_big|to_short|max_long_array|min_three,6,True,380,66,350,28,evaluations/candidate_022.log
23,hex_boundary|hex_hash|hex_ff|decimal_big|number_null|to_short|create_float|max_double_array,8,True,380,84,350,40,evaluations/candidate_023.log
24,hex_small|hex_ff|hex_big|decimal_negative|to_short|create_big_decimal|create_float|max_long_array,8,True,380,84,350,40,evaluations/candidate_024.log
25,decimal_big|to_long|create_integer|create_big_integer|create_big_decimal|create_float|max_int_array|max_long_array|min_three,9,True,380,85,350,39,evaluations/candidate_025.log
26,hex_hash|hex_ff|hex_big|decimal|min_three,5,True,380,67,350,30,evaluations/candidate_026.log
27,hex_small|hex_hash|hex_big|to_short|create_big_decimal|create_float,6,True,380,62,350,26,evaluations/candidate_027.log
28,hex_boundary|hex_hash|hex_ff|hex_big|decimal_big|to_short|create_big_decimal|create_float|min_int_array|min_long_array|max_double_array|min_three,12,True,380,106,350,54,evaluations/candidate_028.log
29,hex_boundary|hex_ff|hex_big|to_short|to_float|max_long_array|min_three,7,True,380,70,350,29,evaluations/candidate_029.log
30,hex_ff|decimal|decimal_big|number_blank|to_int|to_short|to_float|create_integer|create_big_integer|create_float|max_double_array|min_three,12,True,380,97,350,45,evaluations/candidate_030.log
31,hex_hash|hex_ff|to_float|create_float,4,True,380,43,350,17,evaluations/candidate_031.log
32,hex_ff|decimal|number_blank|to_long|to_short|to_float|create_big_integer|create_float|is_number|max_long_array|max_double_array|min_three,12,True,380,121,350,69,evaluations/candidate_032.log
33,hex_hash|decimal|to_long|to_short|to_float|create_big_integer|create_big_decimal|create_float|is_number|max_long_array|max_double_array|min_three,12,True,380,124,350,71,evaluations/candidate_033.log
34,hex_boundary|hex_ff|number_blank|to_long|to_short|to_float|create_big_integer|create_big_decimal|max_long_array|max_double_array,10,True,380,81,350,40,evaluations/candidate_034.log
35,hex_hash|hex_ff|to_short|min_three,4,True,380,46,350,17,evaluations/candidate_035.log
36,hex_hash|to_short|create_big_decimal|max_long_array|min_double_array|max_double_array|min_three,7,True,380,73,350,36,evaluations/candidate_036.log
37,hex_ff|hex_big,2,True,380,48,350,18,evaluations/candidate_037.log
38,hex_boundary|hex_hash|hex_ff|hex_big|decimal|to_short|create_big_decimal|is_number|max_long_array|max_double_array|min_three,11,True,380,115,350,64,evaluations/candidate_038.log
39,hex_boundary|hex_hash|to_short|create_big_decimal|create_float|max_long_array|min_double_array|min_three,8,True,380,68,350,32,evaluations/candidate_039.log
40,hex_boundary|hex_ff|number_blank|to_long|to_short|to_float|create_big_integer|create_big_decimal|is_number|max_long_array|min_three,11,True,380,101,350,56,evaluations/candidate_040.log
41,decimal_big|to_long|to_short|to_float|create_float|is_number|min_int_array|max_double_array,8,True,380,110,350,57,evaluations/candidate_041.log
42,hex_hash|hex_ff|is_number|min_int_array|min_long_array|max_long_array|min_three,7,True,380,85,350,49,evaluations/candidate_042.log
43,hex_hash|hex_big|decimal|number_null|min_three,5,True,380,68,350,31,evaluations/candidate_043.log
44,hex_boundary|hex_hash|hex_ff|decimal_big|to_short|create_float|is_number|max_long_array|max_double_array|min_three,10,True,380,116,350,64,evaluations/candidate_044.log
45,hex_boundary|hex_hash|decimal|to_long|to_short|create_big_integer|create_big_decimal|is_number|max_long_array|max_double_array|min_three,11,True,380,118,350,68,evaluations/candidate_045.log
46,hex_boundary|decimal|to_long|to_float|create_big_decimal|create_float|is_number|max_double_array|min_three,9,True,380,103,350,59,evaluations/candidate_046.log
47,hex_boundary|to_float|create_big_decimal|create_float|is_number|max_double_array,6,True,380,80,350,45,evaluations/candidate_047.log
48,hex_boundary|hex_big|to_short|create_long|create_big_decimal|is_number|max_long_array|min_three,8,True,380,93,350,49,evaluations/candidate_048.log
